행사명,날짜,시작 시간,끝나는 시간,호선,역명,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,성수,하차,85,829,754,1630,998,939,1033,1336,1346,1447,1642,1815,2083,1491,976,753,610,619,685,427.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,성수,하차,41,366,363,505,592,775,619,795,931,978,1037,977,934,917,649,532,512,474,546,334.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,신설동,하차,16,48,101,154,219,365,349,356,319,319,275,256,189,171,110,99,95,114,124,10.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,신설동,하차,10,38,57,120,271,446,417,345,364,284,258,181,122,114,93,82,79,58,77,14.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,신설동,하차,16,68,181,565,279,215,233,220,297,239,231,218,266,307,202,110,108,128,93,54.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,신설동,하차,9,47,88,140,183,237,322,375,351,290,224,200,233,198,116,92,83,102,94,17.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,신설동,하차,10,47,73,92,264,458,402,334,320,283,216,150,136,109,80,73,97,73,76,18.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,신설동,하차,15,62,200,568,335,280,205,191,216,233,191,174,214,326,154,111,117,89,115,60.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,신설동,하차,12,57,104,169,250,380,332,348,345,271,262,220,192,156,87,94,99,77,90,28.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,신설동,하차,10,39,60,105,222,400,339,344,356,234,221,123,99,77,74,56,84,82,70,7.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,신설동,하차,15,62,146,214,287,395,419,450,403,435,358,261,293,170,123,118,97,144,87,25.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,신설동,하차,19,48,80,147,322,459,439,468,465,441,341,206,155,144,103,96,95,152,96,4.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,신설동,하차,20,69,228,656,418,239,209,222,200,181,205,183,229,256,212,113,116,138,123,38.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,신설동,하차,11,61,114,186,223,324,396,466,566,413,333,290,292,213,151,120,94,120,100,6.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,신설동,하차,7,39,69,152,296,441,407,370,382,315,251,200,139,113,72,118,110,135,73,8.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,신설동,하차,16,85,112,292,440,461,411,399,317,325,285,228,242,207,166,120,126,119,111,15.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,신설동,하차,16,87,118,238,380,472,405,428,433,386,319,276,354,168,121,133,98,132,105,14.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,신설동,하차,12,42,64,139,334,411,475,440,408,391,322,199,202,160,81,93,85,104,71,8.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,건대입구,하차,60,506,443,840,1440,1439,2085,2823,2894,3325,3154,3636,4149,4199,3199,2481,2097,2113,1604,137.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,건대입구,하차,44,342,294,462,752,1066,1630,1937,2317,2196,2244,2786,2926,2801,2145,1685,1733,1454,958,72.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,건대입구,하차,70,688,1090,2499,2045,1439,1586,1663,1824,1915,2094,2666,3669,7186,5112,2547,2291,2125,1591,836.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,건대입구,하차,57,469,449,824,1355,1385,2021,2539,2764,2613,2766,3370,4075,4042,2492,2175,1860,1925,1526,114.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,건대입구,하차,36,296,280,397,753,1003,1608,2003,2478,2299,2093,2592,2781,2588,1945,1801,1590,1437,1005,99.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,건대입구,하차,77,701,1004,2571,1947,1449,1447,1771,1961,2001,2174,2760,4310,6935,4954,2617,2389,2124,1609,752.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,건대입구,하차,67,522,475,943,1374,1499,1931,2619,2896,3114,3318,3703,4370,4213,3023,2354,2184,2111,1363,128.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,건대입구,하차,37,328,257,444,714,1062,1510,1835,2204,1999,2187,2512,2670,2550,1974,1717,1709,1359,819,66.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,건대입구,하차,91,804,656,1692,1829,1917,2499,3480,4165,3954,4167,4925,5852,5918,4958,3676,3167,3285,2274,298.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,건대입구,하차,29,508,517,834,994,1456,2103,2734,3000,3157,3275,3541,3882,3866,2776,2297,2245,2272,1220,93.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,건대입구,하차,93,676,1140,3373,2220,1980,1701,1862,2022,1980,2126,2697,4048,7238,5528,2697,2496,2664,1642,666.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,건대입구,하차,85,550,560,1002,1641,1802,2467,3435,4016,4111,4283,4485,5146,5441,4351,3335,2958,2636,1932,278.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,건대입구,하차,53,375,357,525,1021,1439,1887,2584,3092,2853,3112,3252,3460,3690,2618,2164,1993,1946,1081,67.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,건대입구,하차,71,562,634,1141,1598,1840,2517,3233,3636,3896,3884,4120,5287,5465,3941,3112,2849,2660,1929,611.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,건대입구,하차,90,594,591,1610,1898,2161,2937,3963,4730,4633,4720,4952,5925,6428,4709,3959,3409,3091,2424,526.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,건대입구,하차,45,463,374,533,1122,1498,2024,2977,3302,3403,3342,3602,4080,3955,3084,2450,2402,2063,1513,86.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,잠실(송파구청),하차,136,1084,1359,2425,4058,4376,5004,5710,5906,5863,5996,5945,5803,4320,3145,3185,2818,3320,1980,12.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,잠실(송파구청),하차,90,744,905,1678,3275,2969,4060,4477,4519,4368,4464,4109,4401,3453,2641,2210,1921,2423,1232,2.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,잠실(송파구청),하차,187,1124,2892,7984,6824,4016,3838,3928,3930,4145,4450,5018,7124,10697,6199,3452,3468,3704,2480,634.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,잠실(송파구청),하차,137,990,1324,2331,3991,3961,5132,5273,5480,5266,5688,5450,5812,4728,2915,2443,2476,3054,2446,1.0
